search_rank,candidate_id,y__peak_temperature_K,y__peak_prominence,y__peak_rise,y__peak_drop,y__high_temperature_plateau,y__directional_dbtt_gain,y__persistence_from_trajectory,K25_T700K_MPa_sqrt_m,K25_T800K_MPa_sqrt_m,K25_T900K_MPa_sqrt_m,K25_T950K_MPa_sqrt_m,K25_T1000K_MPa_sqrt_m,K25_T1050K_MPa_sqrt_m,K25_T1100K_MPa_sqrt_m,K25_T1200K_MPa_sqrt_m,K25_T1300K_MPa_sqrt_m,K25_T1400K_MPa_sqrt_m,K50_T700K_MPa_sqrt_m,K50_T800K_MPa_sqrt_m,K50_T900K_MPa_sqrt_m,K50_T950K_MPa_sqrt_m,K50_T1000K_MPa_sqrt_m,K50_T1050K_MPa_sqrt_m,K50_T1100K_MPa_sqrt_m,K50_T1200K_MPa_sqrt_m,K50_T1300K_MPa_sqrt_m,K50_T1400K_MPa_sqrt_m,common_random_seed
1,v913_zeroD_sobol_0091348,950.0,23.60362622926896,23.60362622926896,24.41185308393585,45.0041768639184,7.955484500302994,0.6148708005113859,41.020665683465445,47.18657173197067,64.45079798525438,70.34999470023917,69.02641897045854,66.56815959044623,63.51999663452225,56.784605266266674,49.93649905427324,43.243888032801046,37.0486923636154,42.51633376046581,58.07089665641783,63.38613929130957,62.193582751553066,59.97867589108447,57.24136393628541,51.17525334341307,45.0041768639184,38.97428620737372,3621
2,v913_zeroD_sobol_0086763,1050.0,14.949122340646568,14.949122340646568,15.216766890477563,38.50133436064258,7.002840124974323,0.687184553884268,34.93731754177133,39.835429478106185,47.37982683529454,50.526243430062536,52.848748782284055,53.97247300541965,52.1303439468667,47.76109970196917,42.56938839661648,36.765002972897655,31.498494235668257,35.89236288044688,42.68997785703978,45.52580952026694,47.6224031404464,48.64455089870414,46.99416406459467,43.09541636526933,38.50133436064258,33.427784008226574,3621
3,v913_zeroD_sobol_0115460,1000.0,14.712239575037948,21.04297933991532,14.712239575037948,52.97537677473633,15.347550574152072,0.7673465427686355,41.76176947572429,51.89683963924147,69.43905456927126,69.91822789715745,70.18415033717586,69.22507767385356,67.42834983308909,63.41662933078435,58.7954640945269,53.85556507165173,37.62782620058426,46.759638296849246,62.56537189413296,62.99711246952222,63.23671158863208,62.37257629685884,60.75370423815816,57.13909879756257,52.97537677473633,48.52447201359413,3621
4,v913_zeroD_sobol_0097332,1050.0,12.642296960795946,13.919423585109044,12.642296960795946,65.4570145686726,11.42806567135716,0.8258600004722372,59.96466315083534,70.28670345218063,76.96936094877603,78.99318866055097,80.18330041603323,80.57417433322524,80.22624883753168,77.22972441486299,72.64352224693019,66.53431481633025,54.028948897315445,63.32913737773628,69.35029692981567,71.17381360406529,72.24617230566248,72.59846672263491,72.28520034165223,69.58661300599682,65.4570145686726,59.95616976183896,3621
5,v913_zeroD_sobol_0127508,1000.0,12.50883170670965,16.290674750724953,12.50883170670965,42.86545823184168,5.912849414189658,0.7602186067516858,41.01019558539439,38.62154011142162,36.697087489346906,40.13445393313489,57.89899678488138,57.22116705932629,56.04945742959346,51.59341642998321,47.57482932215389,44.01589461995715,36.95260881765202,34.80134090702011,33.067006051781355,36.161596242871546,52.16764961306102,51.5569173817449,50.501193783852685,46.486250561497805,42.86545823184168,39.65881790635137,3621
6,v913_zeroD_sobol_0116955,1000.0,12.447368721036176,19.03342014957221,12.447368721036176,57.02851253296145,9.407891919383914,0.8113955234192959,52.84361425523383,51.38603508234716,50.022036445623066,52.67567094183832,73.24792508386027,72.32840523616426,56.26038327129014,67.2387453988302,63.29389361529214,59.43303847491008,47.620620613577536,46.3069535009776,45.075917305546895,47.46140140481415,65.99720720684978,65.1687094482675,50.69124036106166,60.58286850340556,57.02851253296145,53.5498384858136,3621
7,v913_zeroD_sobol_0060219,1050.0,11.62081696844021,14.058496678065506,11.62081696844021,36.80370473179143,4.8953034125694685,0.7420401950026554,35.41206891840553,33.37448018237455,44.63408287937914,36.52031401100394,38.07166020418876,49.99820228420392,48.78893867255132,44.92026744404179,40.84710633407821,37.10067455715153,31.90840131922196,30.072494556342107,40.21581250369076,32.9052151987747,34.30299562335054,45.04894461584754,43.95938445648867,40.473668684495735,36.80370473179143,33.42812764740733,3621
8,v913_zeroD_sobol_0242980,1100.0,10.8502749651439,13.535460514918428,10.8502749651439,27.878264460892535,3.1398622491219648,0.7150384189534483,27.45549114724432,27.017031877747584,26.69997610017674,26.982826780251237,26.7346310554674,26.475112678114964,42.25948501999487,41.493851958731305,30.94108228916816,30.217155297243146,24.738402211770573,24.343222833516883,24.057294984286504,24.311875741403213,24.088250127422317,23.85442642626702,38.07627303756215,37.386429010005,27.878264460892535,27.225998072418253,3621
9,v913_zeroD_sobol_0103251,1100.0,10.26819078432753,10.26819078432753,10.977983958977664,32.83466600607984,1.920531794987252,0.7279913999467419,34.308317647465906,32.4817620618198,34.65521415238333,36.88991710164338,39.59436956429096,42.62956123020181,44.792955007039154,40.340938618025895,36.44201256197767,32.60888441573695,30.91413421109259,29.267402380400394,31.224739215771077,33.2382317532644,35.67497393904422,38.40971590332554,40.35895908007402,36.34764244808447,32.83466600607984,29.38097512109636,3621
10,v913_zeroD_sobol_0080699,1000.0,10.164383119012603,13.82846106706394,10.164383119012603,37.70403821672202,6.291366292258715,0.7745209200642555,34.861000235752186,34.5029598572732,40.41004106411085,46.37289688676296,50.03161713871973,38.4790784622154,37.84314169137116,44.945108963617095,41.84635498769187,38.75053409329103,31.412671924463304,31.08850949504392,36.40990316448533,41.78250354501914,45.07905177681755,34.67008407128168,34.09709786485289,40.496050515189296,37.70403821672202,34.914668657804945,3621
