shelf_rank,candidate_id,original_search_rank,selection_class,y__low_temperature_baseline,y__high_temperature_plateau,y__directional_dbtt_gain,y__peak_temperature_K,y__peak_prominence,y__persistence_from_trajectory,K25_T700K_MPa_sqrt_m,K25_T800K_MPa_sqrt_m,K25_T900K_MPa_sqrt_m,K25_T950K_MPa_sqrt_m,K25_T1000K_MPa_sqrt_m,K25_T1050K_MPa_sqrt_m,K25_T1100K_MPa_sqrt_m,K25_T1200K_MPa_sqrt_m,K25_T1300K_MPa_sqrt_m,K25_T1400K_MPa_sqrt_m,K50_T700K_MPa_sqrt_m,K50_T800K_MPa_sqrt_m,K50_T900K_MPa_sqrt_m,K50_T950K_MPa_sqrt_m,K50_T1000K_MPa_sqrt_m,K50_T1050K_MPa_sqrt_m,K50_T1100K_MPa_sqrt_m,K50_T1200K_MPa_sqrt_m,K50_T1300K_MPa_sqrt_m,K50_T1400K_MPa_sqrt_m,common_random_seed
1,v913_zeroD_sobol_0086420,224,directional_dbtt_upper_shelf_non_peak,25.60701328941287,42.00316537816216,16.39615208874929,1050.0,0.8962289223250437,0.9791085879663604,28.42013746938695,27.951189835397106,32.310079165492866,37.73011457367628,47.54990786229528,47.6124937435106,36.06169034858123,36.092657700624734,46.8978843303361,46.6178015145693,25.60701328941287,25.184502132387475,29.11174609414204,33.99525915627787,42.84300371529677,42.8993943004872,32.49199010306585,32.519892036690834,42.25552315560616,42.00316537816216,3621
2,v913_zeroD_sobol_0009771,305,directional_dbtt_upper_shelf_non_peak,27.333005131881407,43.11288596171124,15.779880829829835,1100.0,0.2505299669547369,0.9942225500092782,30.33565134221909,32.939468235466094,37.08299612331856,39.84570080725428,42.3431443384477,45.423103391968,48.12749465021278,47.90881760447022,47.81931870484863,47.84944045553191,27.333005131881407,29.678832762262275,33.41219813045881,35.90142622488299,38.15165102749501,40.92672888879464,43.36341592866598,43.16638544291294,43.08574592445353,43.11288596171124,3621
3,v913_zeroD_sobol_0088403,217,directional_dbtt_upper_shelf_non_peak,25.92879446662774,41.575941843582896,15.647147376955155,950.0,0.973142784133458,0.9771289372580402,28.774136617615017,39.10190146176701,36.27782985771756,47.22369764404512,46.90204873529187,46.6316579747252,46.43932541725563,46.19346267911556,46.11650761488416,46.14360922825957,25.92879446662774,35.23125462161064,32.686734239730484,42.549084627716354,42.259275331462206,42.0156502051181,41.8423564005687,41.62085170437717,41.55151892749706,41.575941843582896,3621
4,v913_zeroD_sobol_0202500,52,directional_dbtt_upper_shelf_non_peak,25.703434515429706,41.138348877682056,15.434914362252352,1050.0,4.715910387765632,0.894028407526355,28.52721347136939,28.11290766709585,27.66842922068792,27.438145735561136,48.89792250985975,49.39077622441085,48.62206440522559,47.109057492647054,45.657972802217394,44.156756993113696,25.703434515429706,25.330133056380397,24.92964749800194,24.722157137949967,44.05758012367081,44.50164688181388,43.809028858628736,42.445792557713965,41.138348877682056,39.78573649404824,3621
5,v913_zeroD_sobol_0196804,172,directional_dbtt_upper_shelf_non_peak,24.47116402200937,38.10393559287687,13.6327715708675,1050.0,1.413432326540196,0.9636356867419106,27.159123842693692,31.030504470402512,38.314120134165066,41.86857611481714,42.99830638555994,43.13893284917067,43.09497322051803,42.83217603247528,42.2901629754256,41.57018765097154,24.47116402200937,27.958835808988702,34.521454756191595,37.72405970300382,38.74195942475352,38.868665455294185,38.82905733396135,38.59227411299621,38.10393559287687,37.45523312875399,3621
6,v913_zeroD_sobol_0162507,183,directional_dbtt_upper_shelf_non_peak,28.025369477564585,40.81747312391323,12.792103646348648,1050.0,1.28870823981336,0.9691377204302628,31.10394371244758,33.83125624676073,38.91799552628199,41.72762415812217,44.27199278643602,46.34430483683934,46.31752448692923,45.76388817129239,45.30184429663101,44.914013914670775,28.025369477564585,30.48234383765268,35.06555329855485,37.59706039952838,39.889565244418826,41.75674181491894,41.73261243438214,41.233779867334825,40.81747312391323,40.46803357510558,3621
7,v913_zeroD_sobol_0027268,163,directional_dbtt_upper_shelf_non_peak,24.087448361014893,34.361145358640115,10.273696997625224,1100.0,1.5959391954758075,0.95460002438117,26.7313629224234,29.76551590168968,33.40174495632783,35.16012470342839,36.95744252338942,37.94446117345232,39.01489919049842,38.76013607389643,38.13534061221438,37.241094874217126,24.087448361014893,26.81906846749985,30.0953492990682,31.679669283854462,33.299072920184585,34.18838786135276,35.15286459347531,34.9233201682053,34.361145358640115,33.5569253979995,3621
8,v913_zeroD_sobol_0011131,261,directional_dbtt_upper_shelf_non_peak,36.60284177779553,46.2489967788347,9.646155001039167,1100.0,0.5899043893186615,0.9873300997775792,40.62417663545749,43.31571628461713,47.079606876572,49.99323917573516,50.717322871092094,51.35566451596684,51.67472820224048,51.55598406522029,51.33009685486528,51.02001432009234,36.60284177779553,39.0279493424629,42.41925722618266,45.044472803119774,45.69688038713674,46.27203341870048,46.55951341074969,46.45252364067615,46.2489967788347,45.96960902143103,3621
9,v913_zeroD_sobol_0073460,252,directional_dbtt_upper_shelf_non_peak,26.808486393133283,36.43166435743712,9.62317796430384,1050.0,0.6405645930312716,0.9827211740117616,29.75373230566788,29.631518913015288,40.77343165502428,40.79070450612495,40.81943354525684,41.14513261954377,41.03783829320962,33.316911611505745,40.6064330230972,40.434193029276834,26.808486393133283,26.69838504274984,36.73732218718439,36.75288522093194,36.77877040936656,37.07222895046839,36.97555555173842,30.018913489044213,36.58685453541529,36.43166435743712,3621
10,v913_zeroD_sobol_0134035,70,directional_dbtt_upper_shelf_non_peak,24.171552384768276,33.754690659401824,9.583138274633551,1050.0,3.265865677175377,0.9096269642206808,26.823895598608143,32.058033122778966,39.77090781690355,31.476039215080828,31.40791848446776,40.10783459160579,39.54639968049129,38.46555532294276,37.463116256159466,36.48316780287403,24.171552384768276,28.88464976594192,35.834036896617256,28.360266687651297,28.29888914063684,36.13761172248599,35.63175253237312,34.657899570037365,33.754690659401824,32.87174604531061,3621
